shop_id,shop_profile,shop_id,shop_profile,shop_id,shop_profile
46,Moderate,46,High,46,Low
24,Moderate,24,Low,24,Low
23,Low,23,Low,23,Low
97,Moderate,97,Moderate,97,Low
44,Moderate,44,Moderate,44,Low
30,Low,30,Low,30,Low
38,Moderate,38,Moderate,38,Low
29,Low,29,Moderate,29,3
96,Moderate,96,Low,96,Low
92,Low,92,Low,92,3
81,High,81,High,81,Moderate
76,High,76,Moderate,76,3
80,Low,80,Moderate,80,3
74,High,74,High,74,Moderate
107,Low,107,Low,107,3
108,Moderate,108,Moderate,108,3
19,Moderate,19,High,19,Low
2,Moderate,2,Moderate,2,Low
114,Moderate,114,Moderate,114,Moderate
87,Low,87,Low,87,3
50,Moderate,50,Moderate,50,Low
61,Moderate,61,Moderate,61,3
56,High,56,High,56,Moderate
70,Low,70,Low,70,3
