,shop_id,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37
0,1,3290.0,5915.0,0.0,56320.0,2400.0,5500.0,9750.0,2540.0,7230.0,3090.0000000000005,10410.0,3840.0000000000005,22890.0,2520.0,84700.0,9000.0,3600.0,7100.0,2720.0,1200.0,11880.0,1440.0,4100.0,0.0,29040.0,1050.0,900.0,31020.0,7700.0,1950.0,1700.0,7150.0,6650.0,12130.0,1600.0,17250.0,4320.0
1,2,6650.0,10885.0,0.0,182600.0,6600.0,29000.0,17850.0,10390.0,12940.0,5340.0,23990.000000000004,6470.0,32480.0,7400.0,186120.0,9450.0,2500.0,10900.0,2960.0,4320.0,33660.0,4080.0000000000005,7500.0,0.0,117920.0,1500.0,4400.0,60499.99999999999,27500.0,2700.0,4800.0,22330.0,19670.0,56749.99999999999,2800.0,40210.0,9990.0
2,3,7490.0,9065.0,0.0,107140.0,10500.0,19000.0,24750.0,4620.0,19410.0,2910.0,21160.0,5170.0,36210.0,6780.0,114180.0,14550.0,3200.0,9400.0,4880.0,2870.0,36960.0,1200.0,7200.0,0.0,53900.0,2100.0,2100.0,43780.0,16280.0,1050.0,3600.0000000000005,18590.0,13090.0,31800.0,3990.0,32400.0,6210.0
3,4,3710.0,4620.0,0.0,88440.0,5550.0,13900.0,9900.0,5760.0,9180.0,4950.0,21800.0,9810.0,33590.0,9990.0,150700.0,25949.999999999996,2500.0,8600.0,4640.0,3480.0,16720.0,3120.0,3600.0,0.0,39380.0,1800.0,3000.0,46640.0,14740.0,1950.0,4500.0,16390.0,15400.0,21590.0,5390.0,21980.0,9720.0
4,5,6370.0,5600.0,0.0,87340.0,5250.0,15299.999999999998,16650.0,8250.0,21630.0,3839.9999999999995,13310.0,5660.0,63720.0,7080.0,131780.0,21150.0,4800.0,11900.0,4800.0,2520.0,32780.0,3240.0,7300.0,0.0,75900.0,2700.0,2300.0,34760.0,19360.0,1350.0,3900.0,16500.0,9380.0,28710.0,6439.999999999999,28420.0,11610.0
5,6,4410.0,7665.0,0.0,106260.00000000001,6000.0,13400.0,18450.0,8440.0,17160.0,5230.0,14710.0,11290.0,21440.0,9860.0,156200.0,16950.0,900.0,7800.0,4400.0,4920.0,13200.0,3360.0,4300.0,0.0,48840.0,1500.0,2800.0,42460.0,16500.0,2400.0,4300.0,11329.999999999998,9240.0,33340.0,6090.0,15970.0,11340.0
6,7,4830.0,5110.0,0.0,170500.0,7499.999999999999,17000.0,22500.0,8180.000000000001,7230.0,3200.0,13770.0,8100.0,23490.0,4450.0,149160.0,10500.0,4200.0,11300.0,4480.0,5160.0,19140.0,2400.0,7100.000000000001,0.0,95920.0,4200.0,4900.0,48840.0,16279.999999999998,5400.0,5600.0,8029.999999999999,13650.0,19870.0,2100.0,25630.0,5400.0
7,8,1190.0,805.0,205.0,6160.0,600.0,1600.0,3000.0,0.0,1740.0,350.0,870.0,420.0,2030.0,70.0,13420.0,1800.0,0.0,700.0,240.0,120.0,2860.0,0.0,800.0,0.0,2860.0,150.0,100.0,1100.0,660.0,0.0,300.0,880.0,1120.0,1120.0,560.0,2720.0,0.0
8,9,6160.0,10920.0,0.0,105379.99999999999,6300.0,17200.0,21300.0,6300.0,15670.0,4450.0,23290.0,9610.0,39840.0,11540.0,152460.0,27900.0,5160.0,16800.0,4960.0,2760.0,27940.0,1320.0,7600.0,0.0,54779.99999999999,2400.0,5300.0,49280.0,27280.0,1650.0,6700.0,11220.000000000002,10850.0,16510.0,2870.0,15080.0,9990.0
9,10,8820.0,6020.0,0.0,103400.0,5100.0,16700.0,10650.0,15640.0,15659.999999999998,5040.0,16860.0,7940.0,39070.0,9620.0,149160.0,16350.0,3380.0,12300.0,4880.0,1920.0,23980.0,3240.0,8000.0,0.0,47520.0,1350.0,4300.0,59180.0,17380.0,900.0,4700.0,22550.0,20440.0,36230.0,6230.0,33200.0,9450.0
10,11,11200.0,15435.0,0.0,158840.0,5850.0,36900.0,21000.0,35520.0,22790.0,8260.0,25360.0,10220.0,63800.00000000001,13250.0,200200.00000000003,10500.0,3000.0,21200.0,5680.0,3720.0,46860.0,1680.0,14500.0,0.0,71280.0,1950.0,6099.999999999999,80300.0,30140.0,4950.0,6700.0,32009.999999999996,39340.0,88340.0,7280.0,68650.0,12689.999999999998
11,12,6440.0,2730.0,0.0,52800.0,0.0,19400.0,15899.999999999998,8220.0,8290.0,2750.0,11980.0,3190.0,20010.0,7420.0,73920.0,0.0,2800.0,12800.0,5520.0,2400.0,15840.0,1800.0,4800.0,0.0,23100.0,0.0,3400.0,26180.0,11440.0,0.0,5200.0,2200.0,4550.0,9430.0,5250.0,13360.0,7830.0
12,13,7910.0,7000.0,0.0,45100.0,5400.0,23900.0,8100.0,31730.0,29120.0,7430.0,22530.0,6500.0,45780.0,11940.0,90860.0,24150.0,6000.0,13100.0,6240.0,1919.9999999999998,40920.0,3240.0,10000.0,4550.0,18920.0,1950.0,5400.0,27940.0,8140.0,1950.0,7200.000000000001,25630.0,23100.0,36580.0,5250.0,54530.00000000001,6790.0
13,14,6650.0,8400.0,0.0,71500.0,6600.0,18800.0,19050.0,15240.0,15130.000000000002,3620.0,13560.0,6240.0,31610.0,8760.0,132440.0,30300.0,2500.0,8000.0,5840.0,4920.0,22440.0,2640.0,8300.0,0.0,38060.0,3150.0,2500.0,39380.0,16280.0,4950.0,2400.0,21780.0,18620.0,46110.0,5880.0,43230.0,14850.0
14,15,2380.0,2590.0,0.0,126719.99999999999,0.0,12400.0,19650.0,5330.0,9510.0,4900.0,13350.0,5140.0,28960.0,6340.0,104720.00000000001,0.0,3979.9999999999995,9600.0,3920.0,6480.0,27500.0,1440.0,5000.0,0.0,64019.99999999999,0.0,3000.0,74580.0,17600.0,0.0,4200.0,5940.0,5670.0,8000.0,3640.0,6180.000000000001,7850.000000000001
15,16,7630.0,10465.0,0.0,75900.0,7650.0,17400.0,18300.0,61919.99999999999,22690.0,5750.0,17660.0,6810.0,74450.0,16930.0,137940.0,31650.0,7800.0,17600.0,6080.0,1920.0,36520.0,3000.0,8400.0,3900.0,37620.0,2400.0,3300.0,41800.0,12320.0,2250.0,4300.0,60279.99999999999,52570.0,115960.0,5950.0,204350.0,6210.0
